Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,6,N,9.66,13.03
2022-01-01,6,N,9.66,13.03
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,17.11,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,16.0,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,13.76,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,7,N,5.3,11.21
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
